devP,wba,convergance,dy_wrkr_util,dy_mstr_util,detection,mx_wrkr_util,mx_mstr_util,os_wrkr_util,os_mstr_util
0.5,1,58,0.9,-23.38,1,0.5895,-16.333,0,-27
0.5,1.1,53,1,-47.23,2,0.385521,11.9176,0,-54
0.5,1.2,48,1.1,-70.754,2,0.40984,46.6132,0,-81
0.5,1.3,44,1.2,-94.764,2,0.454798,83.6124,0,-108
0.5,1.4,40,1.3,-118.74,2,0.481056,126.567,0,-135
0.5,1.5,37,1.4,-142.565,2,0.521083,172.884,0,-162
0.5,1.6,35,1.5,-166.757,2,0.55411,223.94,0,-189
0.5,1.7,32,1.6,-190.787,2,0.578466,281.409,0,-216
0.5,1.8,31,1.7,-215.351,2,0.630627,339.744,0,-243
0.5,1.9,29,1.8,-239.567,2,0.669729,401.736,0,-270
0.5,2,27,1.9,-263.957,2,0.699437,468.832,0,-297
0.6,1,69,0.9,-285.737,2,0.343485,494.168,0,-324
0.6,1.1,62,1,-307.886,2,0.385521,522.415,0,-351
0.6,1.2,57,1.1,-330.266,2,0.414373,556.219,0,-378
0.6,1.3,52,1.2,-352.919,2,0.455616,593.03,0,-405
0.6,1.4,47,1.3,-375.575,2,0.473827,637.471,0,-432
0.6,1.5,44,1.4,-398.4,2,0.519006,684.29,0,-459
0.6,1.6,41,1.5,-421.318,2,0.555822,734.968,0,-486
0.6,1.7,38,1.6,-444.025,2,0.594843,789.173,0,-513
0.6,1.8,37,1.7,-467.441,2,0.632893,847.18,0,-540
0.6,1.9,34,1.8,-490.265,2,0.678581,907.556,0,-567
0.6,2,33,1.9,-513.125,2,0.70863,972.948,0,-594
0.7,1,79,0.9,-533.085,2,0.357715,995.512,0,-621
0.7,1.1,71,1,-553.617,2,0.382613,1024.29,0,-648
0.7,1.2,65,1.1,-574.105,2,0.407724,1059.36,0,-675
0.7,1.3,59,1.2,-594.803,2,0.443257,1098.67,0,-702
0.7,1.4,55,1.3,-615.947,2,0.494278,1139.13,0,-729
0.7,1.5,51,1.4,-636.997,2,0.512489,1187.23,0,-756
0.7,1.6,47,1.5,-658.381,2,0.552599,1238.55,0,-783
0.7,1.7,44,1.6,-679.603,2,0.570117,1297.65,0,-810
0.7,1.8,42,1.7,-700.947,2,0.627113,1356.82,0,-837
0.7,1.9,39,1.8,-722.524,2,0.662312,1420.11,0,-864
0.7,2,37,1.9,-744.574,2,0.692763,1488.78,0,-891
0.8,1,89,0.9,-763.054,2,0.345185,1513.84,0,-918
0.8,1.1,80,1,-781.528,2,0.384898,1542.06,0,-945
0.8,1.2,73,1.1,-800.388,2,0.408707,1577.04,0,-972
0.8,1.3,66,1.2,-819.361,2,0.447022,1615.57,0,-999
0.8,1.4,62,1.3,-838.705,2,0.474444,1660.01,0,-1026
0.8,1.5,58,1.4,-858.805,2,0.520422,1706.55,0,-1053
0.8,1.6,54,1.5,-878.785,2,0.555319,1757.42,0,-1080
0.8,1.7,51,1.6,-899.305,2,0.587885,1812.96,0,-1107
0.8,1.8,47,1.7,-919.333,2,0.628247,1871.7,0,-1134
0.8,1.9,45,1.8,-939.489,2,0.64987,1937.52,0,-1161
0.8,2,43,1.9,-959.829,2,0.705985,2003.5,0,-1188
0.9,1,98,0.9,-975.949,2,0.347641,2028.07,0,-1215
0.9,1.1,89,1,-992.68,2,0.386907,2055.88,0,-1242
0.9,1.2,81,1.1,-1009.76,2,0.417093,2089.15,0,-1269
0.9,1.3,74,1.2,-1027.14,2,0.443748,2128.38,0,-1296
0.9,1.4,69,1.3,-1044.95,2,0.506001,2166.65,0,-1323
0.9,1.5,64,1.4,-1063.38,2,0.518533,2213.61,0,-1350
0.9,1.6,59,1.5,-1081.07,2,0.568314,2262.03,0,-1377
0.9,1.7,57,1.6,-1099.48,2,0.580286,2319.09,0,-1404
0.9,1.8,53,1.7,-1118.76,2,0.624733,2378.7,0,-1431
0.9,1.9,50,1.8,-1137.52,2,0.668772,2440.9,0,-1458
0.9,2,47,1.9,-1156.6,2,0.696667,2508.65,0,-1485
1,1,101,0.9,-1170.18,2,0.35123,2532.35,0,-1512
1,1.1,98,1,-1184.35,2,0.381366,2561.27,0,-1539
1,1.2,89,1.1,-1199.45,2,0.422004,2593.46,0,-1566
1,1.3,83,1.2,-1215.36,2,0.45226,2630.93,0,-1593
1,1.4,75,1.3,-1230.86,2,0.488196,2672.42,0,-1620
1,1.5,70,1.4,-1246.26,2,0.520139,2718.83,0,-1647
1,1.6,66,1.5,-1262.99,2,0.54877,2770.85,0,-1674
1,1.7,62,1.6,-1279.38,2,0.588313,2826.26,0,-1701
1,1.8,58,1.7,-1296.13,2,0.625413,2885.5,0,-1728
1,1.9,55,1.8,-1313.13,2,0.649033,2951.33,0,-1755
1,2,52,1.9,-1329.87,2,0.689867,3020.24,0,-1782
